date	52 Days	104 Days	153 Days	256 Days	512 Days	1260 Days	1764 Days
2015-08-24	37	43	67	96	47	177	0
2015-08-25	47	49	70	97	46	177	0
2015-08-26	55	55	73	99	45	177	0
2015-08-27	56	58	76	100	44	177	0
2015-08-28	55	59	77	101	43	177	0
2015-08-31	50	57	78	102	42	176	0
2015-09-01	39	55	79	102	41	176	0
2015-09-02	37	53	80	102	42	176	0
2015-09-03	36	51	80	101	42	176	0
2015-09-04	34	48	80	100	43	176	0
2015-09-07	32	45	80	99	44	176	0
2015-09-08	31	41	79	99	45	176	0
2015-09-09	30	38	78	99	46	176	0
2015-09-10	29	34	76	98	47	176	0
2015-09-11	27	31	74	98	48	176	0
2015-09-14	24	28	72	97	49	176	0
2015-09-15	21	25	70	96	51	176	0
2015-09-16	18	22	67	95	52	176	0
2015-09-17	15	20	65	94	54	175	0
2015-09-18	12	21	63	93	55	175	0
2015-09-21	9	21	60	91	56	175	0
2015-09-22	6	21	57	89	58	175	0
2015-09-23	4	22	53	87	59	175	0
2015-09-24	4	25	50	84	61	174	0
2015-09-25	3	26	48	82	62	174	0
2015-09-28	2	27	46	81	63	174	0
2015-09-29	1	28	44	79	64	173	0
2015-09-30	1	29	42	77	65	173	0
2015-10-01	2	30	40	74	66	173	0
2015-10-02	3	30	38	72	68	172	0
2015-10-05	4	31	35	70	69	172	0
2015-10-06	6	31	33	68	70	172	0
2015-10-07	8	30	31	66	71	171	0
2015-10-08	10	28	29	65	72	171	0
2015-10-09	13	26	27	63	73	171	0
2015-10-12	16	24	25	61	74	171	0
2015-10-13	19	21	23	59	75	170	0
2015-10-14	22	18	22	57	76	170	0
2015-10-15	25	16	21	56	76	170	0
2015-10-16	27	13	20	54	77	169	0
2015-10-19	28	10	19	53	77	169	0
2015-10-20	28	8	18	51	78	169	0
2015-10-21	27	7	17	50	78	168	0
2015-10-22	25	5	17	49	79	168	0
2015-10-23	23	4	16	49	79	167	0
2015-10-26	20	3	16	48	79	167	0
2015-10-27	16	3	16	48	79	167	0
2015-10-28	13	5	15	47	79	166	0
2015-10-29	10	7	15	46	78	166	0
2015-10-30	7	9	14	45	78	165	0
2015-11-02	5	12	14	45	77	165	0
2015-11-03	3	15	14	44	76	164	0
2015-11-04	2	19	13	44	75	164	0
2015-11-05	0	24	13	43	74	163	0
2015-11-06	3	29	13	43	73	163	0
2015-11-09	7	35	13	43	72	162	0
2015-11-10	11	41	13	44	71	162	0
2015-11-11	15	48	13	44	69	161	0
2015-11-12	20	54	14	45	68	161	0
2015-11-13	25	61	13	45	66	160	0
2015-11-16	29	66	14	46	65	159	0
2015-11-17	32	70	14	46	64	159	0
2015-11-18	36	72	14	47	62	158	0
2015-11-19	38	73	14	47	61	157	0
2015-11-20	36	70	13	47	60	157	0
2015-11-23	34	65	13	47	59	156	0
2015-11-24	31	57	12	46	58	156	0
2015-11-25	30	49	12	46	57	155	0
2015-11-26	34	41	11	45	56	154	0
2015-11-30	37	34	11	44	55	154	0
2015-12-01	40	27	10	43	54	153	0
2015-12-02	42	20	10	42	53	152	0
2015-12-03	43	14	10	41	52	152	0
2015-12-04	43	9	9	40	51	151	0
2015-12-07	44	5	9	40	50	150	0
2015-12-08	47	3	8	39	50	150	0
2015-12-09	41	1	8	39	49	149	0
2015-12-10	36	0	8	38	48	148	0
2015-12-11	28	1	8	38	48	147	0
2015-12-14	21	2	7	37	47	146	0
2015-12-15	13	4	7	36	47	146	0
2015-12-16	8	7	6	36	46	145	0
